[-0.43336794 -0.04519611]
[-0.47823255 -0.04486461]
[-0.52243635 -0.0442038 ]
[-0.56764887 -0.04521252]
[-0.61353198 -0.04588311]
[-0.65974874 -0.04621676]
[-0.70497254 -0.04522379]
[-0.74890216 -0.04392963]
[-0.79026777 -0.04136561]
[-0.82883998 -0.03857221]
[-0.86642967 -0.0375897 ]
[-0.90287806 -0.03644839]
[-0.93705713 -0.03417907]
[-0.96787144 -0.03081431]
[-0.9952562  -0.02738476]
[-1.02117126 -0.02591505]
[-1.04559393 -0.02442267]
[-1.06751663 -0.0219227 ]
[-1.08694397 -0.01942734]
[-1.10288907 -0.01594509]
[-1.11536897 -0.01247991]
[-1.12640098 -0.01103201]
[-1.13600323 -0.00960225]
[-1.14319368 -0.00719045]
[-1.14798708 -0.0047934 ]
[-1.1493939  -0.00140682]
[-1.1474173  0.0019766]
[-1.14405284  0.00336446]
[-1.13929318  0.00475966]
[-1.13212834  0.00716485]
[-1.1225442   0.00958414]
[-1.11052366  0.01202054]
[-1.0950481   0.01547556]
[-1.07609825  0.01894985]
[-1.0536578   0.02244046]
[-1.02871781  0.02493999]
[-1.00128167  0.02743615]
[-0.9723692   0.02891246]
[-0.94001946  0.03234974]
[-0.90429785  0.03572162]
[-0.86730246  0.03699538]
[-0.8291624   0.03814006]
[-0.78903836  0.04012404]
[-0.74812735  0.04091101]
[-0.70665686  0.04147049]
[-0.66488142  0.04177545]
[-0.62107779  0.04380362]
[-0.57555345  0.04552434]
[-0.52864103  0.04691243]
[-0.48069078  0.04795024]
[-0.43206147  0.04862932]
[-0.38311008  0.04895139]
[-0.33518144  0.04792864]
[-0.28859187  0.04658957]
[-0.24462243  0.04396944]
[-0.20350946  0.04111297]
[-0.16544486  0.03806461]
[-0.13057859  0.03486627]
[-0.09702294  0.03355565]
[-0.06486213  0.03216081]
[-0.03515414  0.02970799]
[-0.00793226  0.02722188]
[0.01679032 0.02472259]
[0.03801608 0.02122576]
[0.05575807 0.017742  ]
[0.07103497 0.01527689]
[0.08386841 0.01283344]
[0.09428057 0.01041216]
[0.10229206 0.00801149]
[0.10692035 0.00462829]
[0.10817615 0.0012558 ]
[ 0.10806245 -0.0001137 ]
[ 0.10657897 -0.00148348]
[ 0.1027222  -0.00385677]
[ 0.0964832 -0.006239 ]
[ 0.08884819 -0.007635  ]
[ 0.07980147 -0.00904672]
[ 0.06732605 -0.01247542]
[ 0.05140145 -0.0159246 ]
[ 0.03400652 -0.01739493]
[ 0.01512458 -0.01888194]
[-0.00525478 -0.02037936]
[-0.02713383 -0.02187905]
[-0.05250461 -0.02537077]
[-0.08134443 -0.02883982]
[-0.11161018 -0.03026575]
[-0.1432371  -0.03162692]
[-0.17613673 -0.03289963]
[-0.21219539 -0.03605866]
[-0.25026437 -0.03806898]
[-0.29016122 -0.03989685]
[-0.33266922 -0.04250799]
[-0.37753216 -0.04486294]
[-0.42345587 -0.04592371]
[-0.47011941 -0.04666354]
[-0.51718232 -0.04706291]
[-0.56329336 -0.04611103]
[-0.60810738 -0.04481403]
[-0.65329437 -0.04518698]
[-0.69853299 -0.04523862]
[-0.74351901 -0.04498602]
[-0.7869727 -0.0434537]
[-0.82865031 -0.0416776 ]
[-0.86934626 -0.04069596]
[-0.90688971 -0.03754345]
[-0.94115138 -0.03426167]
[-0.97303849 -0.03188712]
[-1.00248723 -0.02944873]
[-1.03045841 -0.02797119]
[-1.05693275 -0.02647434]
[-1.07990816 -0.02297541]
[-1.09939559 -0.01948743]
[-1.11641362 -0.01701802]
[-1.13098534 -0.01457173]
[-1.14413563 -0.01315029]
[-1.1558909  -0.01175526]
[-1.1662779 -0.010387 ]
[-1.17332274 -0.00704484]
[-1.17704441 -0.00372167]
[-1.17845338 -0.00140896]
[-1.17755367e+00  8.99710910e-04]
[-1.1733427   0.00421097]
[-1.16780862  0.00553408]
[-1.16093642  0.0068722 ]
[-1.15070835  0.01022807]
[-1.13709985  0.0136085 ]
[-1.12208173  0.01501812]
[-1.10562643  0.0164553 ]
[-1.08670944  0.01891699]
[-1.06530999  0.02139945]
[-1.04241424  0.02289576]
[-1.01601873  0.0263955 ]
[-0.98613416  0.02988457]
[-0.95379142  0.03234274]
[-0.91904619  0.03474523]
[-0.88098345  0.03806274]
[-0.83972513  0.04125832]
[-0.79543564  0.0442895 ]
[-0.74832595  0.04710969]
[-0.69965562  0.04867033]
[-0.6507254   0.04893022]
[-0.60186468  0.04886072]
[-0.55342234  0.04844234]
[-0.50575662  0.04766572]
[-0.45822466  0.04753196]
[-0.41117986  0.04704479]
[-0.36396232  0.04721755]
[-0.3168968   0.04706552]
[-0.27028409  0.04661271]
[-0.22539358  0.04489051]
[-0.18245299  0.04294059]
[-0.14064715  0.04180583]
[-0.10012206  0.0405251 ]
[-0.06298503  0.03713703]
[-0.02930351  0.03368152]
[0.00288767 0.03219118]
[0.03357894 0.03069127]
[0.06278288 0.02920394]
[0.09053104 0.02774816]
[0.11687084 0.0263398 ]
[0.13986273 0.02299189]
[0.15957147 0.01970875]
[0.17806125 0.01848978]
[0.19539932 0.01733807]
[0.21065476 0.01525544]
[0.22389303 0.01323827]
[0.23417436 0.01028133]
[0.24154765 0.00737329]
[0.2480491  0.00650145]
[0.25371138 0.00566229]
[0.25756353 0.00385215]
[0.25962559 0.00206206]
[ 0.2589084 -0.0007172]
[ 0.25540817 -0.00350023]
[ 0.24910661 -0.00630156]
[ 0.24097126 -0.00813535]
[ 0.23096121 -0.01001005]
[ 0.22002765 -0.01093357]
[ 0.20811923 -0.01190842]
[ 0.19318246 -0.01493677]
[ 0.17515392 -0.01802854]
[ 0.15496264 -0.02019127]
[ 0.13253669 -0.02242595]
[ 0.10780576 -0.02473093]
[ 0.07970445 -0.02810131]
[ 0.04817427 -0.03153018]
[ 0.01317014 -0.03500412]
[-0.02433203 -0.03750217]
[-0.06432754 -0.03999551]
[-0.10577664 -0.0414491 ]
[-0.14860093 -0.04282428]
[-0.19468087 -0.04607995]
[-0.24184642 -0.04716555]
[-0.28988232 -0.0480359 ]
[-0.34053096 -0.05064864]
[-0.39348463 -0.05295366]
[-0.44838955 -0.05490492]
[-0.50485377 -0.05646422]
[-0.5614585  -0.05660473]
[-0.6167799 -0.0553214]
[-0.6704115 -0.0536316]
[-0.72197727 -0.05156576]
[-0.77314148 -0.05116421]
[-0.82360411 -0.05046263]
[-0.87210839 -0.04850428]
[-0.9184497  -0.04634131]
[-0.96347518 -0.04502548]
[-1.00707911 -0.04360393]
[-1.04820112 -0.04112201]
[-1.08682314 -0.03862202]
[-1.1239628  -0.03713967]
[-1.15966847 -0.03570567]
[-1.1920151  -0.03234663]
[-1.2  0. ]
[-1.1977581  0.0022419]
[-1.19326692  0.00449118]
[-1.18551196  0.00775497]
[-1.17446914  0.01104281]
[-1.16110635  0.01336279]
[-1.14538812  0.01571823]
[-1.12627757  0.01911055]
[-1.10373705  0.02254052]
[-1.0797324   0.02400465]
[-1.05423965  0.02549275]
[-1.02524746  0.02899219]
[-0.99276069  0.03248677]
[-0.95880718  0.03395351]
[-0.92344105  0.03536613]
[-0.88574526  0.0376958 ]
[-0.84583702  0.03990823]
[-0.80387123  0.04196579]
[-0.75904246  0.04482876]
[-0.71159108  0.04745138]
[-0.66280332  0.04878776]
[-0.61300161  0.04980171]
[-0.56153739  0.05146422]
[-0.50878924  0.05274815]
[-0.45515213  0.05363711]
[-0.40202476  0.05312736]
[-0.35078912  0.05123564]
[-0.30179228  0.04899685]
[-0.2533389   0.04845338]
[-0.20569758  0.04764131]
[-0.16009518  0.0456024 ]
[-0.11670993  0.04338525]
[-0.07567301  0.04103693]
[-0.03707194  0.03860107]
[-0.00095542  0.03611652]
[0.03266111 0.03361653]
[0.06378963 0.03112852]
[0.09246378 0.02867416]
[0.11773351 0.02526972]
[0.14065756 0.02292405]
[0.1613009  0.02064334]
[0.18073127 0.01943038]
[0.1990202  0.01828893]
[0.21424165 0.01522145]
[0.22646194 0.01222029]
[0.23773733 0.01127539]
[0.24812205 0.01038473]
[0.25666799 0.00854593]
[0.26341915 0.00675116]
[0.26741116 0.00399201]
[0.27066542 0.00325425]
[0.27319954 0.00253412]
[ 2.73027377e-01 -1.72162498e-04]
[ 0.27014798 -0.00287939]
[ 0.26454565 -0.00560233]
[ 0.25819017 -0.00635548]
[ 0.25104789 -0.00714228]
[ 0.24208175 -0.00896614]
[ 0.23124643 -0.01083532]
[ 0.21848896 -0.01275747]
[ 0.20274958 -0.01573938]
[ 0.18595858 -0.016791  ]
[ 0.16804662 -0.01791196]
[ 0.14694569 -0.02110093]
[ 0.12258377 -0.02436192]
[ 0.096889   -0.02569477]
[ 0.0697991 -0.0270899]
[ 0.04026381 -0.02953529]
[ 0.00824674 -0.03201707]
